ZIPCODE,AREA,SHAPE_ar_1,ParkInZipA,Error
10452,27550385.85,5667140.755,14440.7002,5652700
10452,27550385.85,373761.7814,133637,240125
10452,27550385.85,76768.07303,76768.10156,0
10452,27550385.85,5752.51467,5752.509766,0
10452,27550385.85,655558.9042,655559,0
10452,27550385.85,4511.33329,4511.330078,0
10452,27550385.85,8402.728306,8402.730469,0
10452,27550385.85,53627.34143,53627.30078,0
10452,27550385.85,2695.284701,2695.280029,0
10452,27550385.85,21510.84139,21510.80078,0
10452,27550385.85,34267.67355,34267.69922,0
10452,27550385.85,5087.353473,5087.350098,0
10452,27550385.85,19329.23478,19329.19922,0
10452,27550385.85,24251.25312,24251.30078,0
10452,27550385.85,35315.26733,35315.30078,0
10452,27550385.85,10417.75392,10417.7998,0
10452,27550385.85,20093.10575,20093.09961,0
10452,27550385.85,70401.4267,4487.100098,65914
10452,27550385.85,14624.28439,14624.2998,0
10452,27550385.85,5393.091956,2751.979981,2641
10452,27550385.85,40376.65428,40376.69922,0
10452,27550385.85,1699.375751,1699.380005,0
10452,27550385.85,15441.58192,15441.59961,0
10452,27550385.85,6654.321398,6654.319824,0
10452,27550385.85,25370.86357,25370.90039,0
10452,27550385.85,739.4401102,739.4400024,0
10452,27550385.85,1252.689695,1252.689941,0
10452,27550385.85,8589.68229,8589.679688,0
10452,27550385.85,1173.577559,1173.579956,0
10452,27550385.85,1209.942884,1209.939941,0
10452,27550385.85,123783.4031,123783,0
10452,27550385.85,12020.39803,12020.40039,0
10452,27550385.85,1378.416823,1378.420044,0
10452,27550385.85,99906.912,99906.89844,0
10456,29933452.44,53773.2252,53773.19922,0
10456,29933452.44,19526.67657,19526.69922,0
10456,29933452.44,16769.6373,16769.59961,0
10456,29933452.44,44219.30845,44219.30078,0
10456,29933452.44,7444.836862,7444.839844,0
10456,29933452.44,5017.347902,5017.350098,0
10456,29933452.44,144204.6729,144205,0
10456,29933452.44,2238.767273,2238.77002,0
10456,29933452.44,875.7452518,875.7449951,0
10456,29933452.44,45303.00933,45303,0
10456,29933452.44,33213.70222,33213.69922,0
10456,29933452.44,15226.19278,15226.2002,0
10456,29933452.44,2347.282476,2347.280029,0
10456,29933452.44,11891.03462,11891,0
10456,29933452.44,3080.788408,3080.790039,0
10456,29933452.44,4433.638804,4433.310059,0
10456,29933452.44,3995.920003,3996.330078,0
10456,29933452.44,41628.02522,41628,0
10456,29933452.44,5485619.444,767333,4718286
10456,29933452.44,164442.578,143817,20626
10456,29933452.44,978.9876761,978.9879761,0
10456,29933452.44,41760.85159,41760.89844,0
10456,29933452.44,62093.5256,62093.5,0
10456,29933452.44,592.6307244,426.480011,166
10456,29933452.44,17304.32982,17304.30078,0
10456,29933452.44,8500.081649,8500.080078,0
10456,29933452.44,20790.08632,20790.09961,0
10456,29933452.44,57170.04593,57170,0
10456,29933452.44,7919.109461,7919.109863,0
10472,30963245.19,487645.2757,151382,336263
10472,30963245.19,44908.69257,44908.69922,0
10472,30963245.19,86067.08129,86067.10156,0
10472,30963245.19,303.0594417,151.5529938,152
10472,30963245.19,42537.60036,35474.69922,7063
10472,30963245.19,6288012.279,977692,5310320
10472,30963245.19,4385.820399,4385.819824,0
10472,30963245.19,3482.586595,3482.590088,0
10472,30963245.19,1966.15154,1966.150024,0
10472,30963245.19,35279.96328,35280,0
10472,30963245.19,66196.97829,49441.69922,16755
10472,30963245.19,13799.32455,13799.2998,0
10472,30963245.19,147344.2896,147344,0
10472,30963245.19,15404.27589,15404.2998,0
10472,30963245.19,231037.6733,231038,0
10472,30963245.19,3338.403133,3338.399902,0
10472,30963245.19,31808.15521,31808.19922,0
10472,30963245.19,12093.94283,12093.90039,0
10031,16902152.37,101855.1596,87254.79688,14600
10031,16902152.37,988927.6056,463820,525108
10031,16902152.37,581736.4917,415842,165894
10031,16902152.37,906257.5397,205784,700474
10031,16902152.37,15305.06387,15305.09961,0
10031,16902152.37,12.65866828,12.6587,0
10031,16902152.37,36547.56489,36547.60156,0
10031,16902152.37,4707.492961,4707.459961,0
10031,16902152.37,26661.46276,26661.5,0
10031,16902152.37,54850.05241,54850.10156,0
10031,16902152.37,2755.000463,2755,0
10031,16902152.37,4534.496625,4534.5,0
10031,16902152.37,3731.288528,3731.290039,0
10031,16902152.37,169239.2345,169239,0
10031,16902152.37,15462.25979,15462.2998,0
10039,8419027.885,7832.019023,7832.02002,0
10039,8419027.885,65971.15106,65149.30078,822
10039,8419027.885,5667140.755,108946,5558195
10039,8419027.885,19044.87122,19044.90039,0
10039,8419027.885,83006.88316,14500.7998,68506
10039,8419027.885,2004.882336,2004.880005,0
10039,8419027.885,2055946.326,153407,1902539
10039,8419027.885,38438.99859,38439,0
10039,8419027.885,565819.0974,565819,0
10039,8419027.885,3596.951504,3596.949951,0
10039,8419027.885,107557.3432,106735,822
10039,8419027.885,128271.1831,128271,0
10459,22551940.54,487645.2757,322028,165617
10459,22551940.54,18324.46861,18324.5,0
10459,22551940.54,19072.99659,19073,0
10459,22551940.54,1546.486024,1546.48999,0
10459,22551940.54,38407.69946,38407.69922,0
10459,22551940.54,29482.65379,14152.7002,15330
10459,22551940.54,337055.2288,337055,0
10459,22551940.54,9471.359259,9471.360352,0
10459,22551940.54,77872.30941,77872.29688,0
10459,22551940.54,7803.930653,7803.930176,0
10459,22551940.54,3581.263506,3581.26001,0
10459,22551940.54,16329.98244,16330,0
10459,22551940.54,167515.3787,142343,25172
10459,22551940.54,54363.72122,54363.69922,0
10459,22551940.54,4267.269562,4267.27002,0
10459,22551940.54,59184.1014,59184.10156,0
10459,22551940.54,1153.575969,1153.579956,0
10459,22551940.54,16357.79163,16357.7998,0
10459,22551940.54,7302.31142,7302.310059,0
10459,22551940.54,11600.73278,11600.7002,0
