"zip","name","empflag","emp_nf","emp","qp1_nf","qp1","ap_nf","ap","est"
"10038","NEW YORK, NY",,"G",44376,"G",940812,"G",3055243,1983
"10039","NEW YORK, NY",,"G",1343,"G",8109,"G",34541,155
"10040","NEW YORK, NY",,"G",4316,"G",33552,"G",133275,528
"10044","NEW YORK, NY",,"H",840,"H",10869,"H",43982,79
"10065","NEW YORK, NY",,"G",14977,"G",273422,"G",1118263,836
"10069","NEW YORK, NY",,"G",418,"H",3799,"G",16698,56
"10075","NEW YORK, NY",,"G",2933,"G",44187,"G",213631,465
"10103","NEW YORK, NY",,"G",4417,"H",307540,"G",805215,104
"10110","NEW YORK, NY",,"G",2408,"G",44159,"G",202180,177
"10111","NEW YORK, NY",,"G",2999,"G",161468,"G",633746,165
"10112","NEW YORK, NY","I","S",0,"H",251190,"H",897155,130
"10115","NEW YORK, NY",,"H",1867,"H",19857,"H",80376,66
"10119","NEW YORK, NY",,"G",8156,"G",202636,"G",762901,301
"10128","NEW YORK, NY",,"G",14260,"G",154277,"G",608248,1723
"10152","NEW YORK, NY",,"G",846,"G",101259,"G",258563,88
"10153","NEW YORK, NY",,"G",5149,"H",325262,"G",920307,101
"10154","NEW YORK, NY","I","D",0,"D",0,"D",0,52
"10162","NEW YORK, NY",,"G",132,"G",1151,"G",4913,17
"10165","NEW YORK, NY",,"G",3497,"G",56800,"G",254929,462
"10167","NEW YORK, NY",,"G",3748,"G",244607,"G",682251,118
"10168","NEW YORK, NY",,"G",4259,"G",60858,"G",239055,184
"10169","NEW YORK, NY",,"G",3251,"G",130989,"G",421796,228
"10170","NEW YORK, NY",,"G",5657,"G",176086,"G",511915,309
"10171","NEW YORK, NY",,"H",2689,"G",245963,"G",666968,54
"10172","NEW YORK, NY","I","D",0,"D",0,"D",0,57
"10173","NEW YORK, NY",,"G",389,"G",10345,"G",53401,30
"10174","NEW YORK, NY",,"H",4171,"H",85558,"H",323145,125
"10177","NEW YORK, NY",,"H",1643,"H",52868,"H",250186,33
"10199","NEW YORK, NY",,"G",93,"G",321,"G",1189,5
"10271","NEW YORK, NY",,"G",3424,"G",109540,"G",377342,93
"10278","NEW YORK, NY",,"G",51,"G",523,"G",2064,7
"10279","NEW YORK, NY",,"G",1474,"G",29767,"G",119524,117
"10280","NEW YORK, NY",,"G",1358,"G",11467,"G",58717,176
"10282","NEW YORK, NY",,"G",2467,"G",57615,"G",204542,229
"10301","STATEN ISLAND, NY",,"G",8178,"G",55956,"G",234332,624
"10302","STATEN ISLAND, NY",,"H",4629,"H",45688,"H",191661,386
"10303","STATEN ISLAND, NY",,"G",5997,"G",63928,"G",266611,369
"10304","STATEN ISLAND, NY",,"G",5685,"G",49111,"G",211940,600
"10305","STATEN ISLAND, NY",,"H",13516,"H",151729,"H",640296,807
"10306","STATEN ISLAND, NY",,"H",10517,"G",64208,"G",278413,1037
"10307","STATEN ISLAND, NY",,"G",1529,"G",11024,"G",50003,261
"10308","STATEN ISLAND, NY",,"G",1915,"G",11943,"G",50363,399
