block,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum
6088    ,5,4,11,2,1,0,0,1,0,2,2,8,4,0,1,0,1,1,0,0,1,0,0
6087    ,0,4,7,0,1,1,0,4,2,4,2,9,2,3,1,1,0,0,4,0,1,1,0
6086    ,1,2,3,2,1,0,1,0,1,2,4,3,5,1,4,1,2,1,1,2,3,0,1
6085    ,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,1,0,0,1,0
6084    ,6,3,5,4,0,2,0,1,2,4,9,6,6,3,8,1,5,1,4,7,6,0,1
6083    ,4,4,0,1,2,0,0,2,2,1,4,5,4,5,1,2,0,1,1,0,2,0,1
6082    ,0,0,0,0,0,0,0,1,1,0,0,0,1,3,0,0,0,0,0,0,0,0,1
6081    ,3,4,2,5,1,0,1,0,0,1,4,5,2,0,0,1,2,0,0,0,0,0,0
6080    ,2,8,5,5,1,0,0,0,1,1,4,7,6,2,1,2,1,1,1,0,0,1,0
6079    ,0,1,1,3,5,0,0,0,0,1,3,1,2,0,1,0,0,0,3,0,0,0,0
6078    ,3,6,4,4,1,2,0,2,3,5,3,4,5,9,3,1,2,0,0,2,0,0,0
6077    ,4,3,3,5,0,0,1,0,1,1,3,6,3,4,1,2,1,0,3,2,3,2,0
6076    ,1,3,11,2,2,0,0,1,0,1,3,4,4,4,6,1,2,2,2,1,0,0,0
6075    ,0,1,0,1,0,0,0,1,1,1,2,0,3,2,3,1,3,1,1,1,1,0,1
6074    ,1,1,0,2,0,0,0,0,2,1,0,0,1,0,1,0,0,0,1,1,0,0,0
6073    ,3,2,2,0,2,0,0,2,0,2,3,1,3,3,1,2,1,2,1,0,2,1,0
