BBLE,Market_Value
1000161570,259892
1000161571,449925
1000161572,625883
1000161573,352763
1000161574,507844
1000161575,421053
1000161576,343980
1000161577,261419
1000161578,452432
1000161579,629498
1000161580,354746
1000161581,510743
1000161582,423451
1000161583,346008
1000161584,262900
1000161585,455092
1000161586,633093
1000161587,356795
1000161588,513685
1000161589,425889
1000161590,347924
1000161591,264403
1000161592,457706
1000161593,636733
1000161594,358863
1000161595,516626
1000161596,428333
1000161597,349888
1000161598,726359
1000161599,640221
1000161600,360890
1000161601,519632
1000161602,430577
1000161603,351977
1000161604,267497
1000161605,462955
1000161606,643989
1000161607,362894
1000161608,522553
1000161609,433127
1000161610,353853
1000161611,268978
1000161612,465614
1000161613,647629
1000161614,365010
1000161615,530919
1000161616,440947
1000161617,361349
1000161618,275973
1000161619,473635
1000161620,656737
1000161621,372594
1000161622,533971
1000161623,443586
1000161624,363353
1000161625,277433
1000161626,476422
1000161627,660550
1000161628,374573
1000161629,537000
1000161630,446023
1000161631,365314
1000161632,278872
1000161633,479039
1000161634,664190
1000161635,376732
1000161701,9863000
1000161702,812348
1000161703,917652
1000161704,5043600
1000161705,230332
1000161706,366437
1000161707,261740
1000161708,282680
1000161709,376906
1000161710,167514
1000161711,418785
1000161712,345497
1000161713,188453
1000161714,376906
1000161715,230332
1000161716,366437
1000161717,261740
1000161718,282680
1000161719,376906
1000161720,167514
1000161721,418785
1000161722,345497
1000161723,188453
1000161724,387376
1000161725,230332
1000161726,366437
1000161727,261740
1000161728,282680
1000161729,376906
1000161730,167514
1000161731,418785
1000161732,345497
1000161733,188453
1000161734,387376
1000161735,230332
1000161736,366437
1000161737,261740
1000161738,282680
1000161739,376906
1000161740,167514
1000161741,418785
1000161742,345497
1000161743,188453
1000161744,387376
1000161745,230332
1000161746,366437
1000161747,261740
1000161748,282680
1000161749,376906
1000161750,167514
1000161751,251271
1000161752,261740
1000161753,240801
1000161754,345497
1000161755,596768
1000161756,471133
1000161757,387376
1000161758,230332
1000161759,366437
1000161760,261740
1000161761,251271
1000161762,387376
1000161763,261740
1000161764,261740
1000161765,251271
1000161766,345497
1000161767,450193
1000161768,387376
1000161769,481602
1000161770,387376
1000161771,230332
