X,Y,GISPROPNUM,LOCATION,WATERFRONT,SIGNNAME,BOROUGH,COMFORTSTA,TYPECATEGO,EAPPLY,SHAPE_area,SHAPE_len,ZCTA5CE00,CLASSFP00,MTFCC00,FUNCSTAT00
991465.496343200211413,176418.205107859510463,B255M,Sherman St. at Ocean Pkwy.,N,Park,B,N-CONFSTA-PARK,Triangle/Plaza,Park,9082.19491263000,414.52419311400,11218,B5,G6350,S
1001156.326083578169346,201134.150439024000661,B257,Frost St. bet. Debevoise Ave. and Kingsland Ave.,N,Frost Playground,B,N-CONFSTA-PARK,Playground,Frost Playground,32616.74951760000,739.57933839200,11211,B5,G6350,S
1005673.160728434449993,187199.513412681379123,B258,Ralph Ave. bet. Chauncey St. and Sumpter St.,N,Brevoort Playground,B,N-CONFSTA-PARK,Playground,Brevoort Playground,64694.89475690000,1065.01759960000,11233,B5,G6350,S
1009746.230831103981473,184017.542041687469464,B260,Mother Gaston Blvd. and Glenmore Ave.,N,Howard Playground,B,Y-CONFSTA-PARK,Community Park,Howard Playground,43696.14334610000,1019.89755464000,11212,B5,G6350,S
1009506.158943130867556,184393.127393729839241,B260A,E. New York Ave. between Mother Gaston Blvd. and St. Mark's Ave.,N,Howard Pool,B,Y-CONFSTA-PARK,Community Park,Howard Playground,28831.13597020000,694.93027389500,11212,B5,G6350,S
999697.699737926013768,187776.995925279537914,B262,Tompkins Ave. between Halsey St. and Macon St.,N,Potomac Playground,B,Y-CONFSTA-PARK,Jointly Operated Playground,Potomac Playground (IS 258),57575.42345620000,975.18453066400,11216,B5,G6350,S
1000122.421711197588593,193317.992542965017492,B263,Throop Ave. between Myrtle Ave. and Park Ave.,N,Sumner Playground,B,N-CONFSTA-PARK,Jointly Operated Playground,Sumner Playground (PS 59),83879.40506680000,1508.44799052000,11206,B5,G6350,S
994861.951649309601635,196620.749034121952718,B264,Lee Ave. between Wilson St. and Taylor St.,N,Roebling Playground,B,N-CONFSTA-PARK,Jointly Operated Playground,Roebling Playground (PS 16),53602.31775950000,1262.20137833000,11211,B5,G6350,S
981179.177541606128216,172644.255445228744065,B265,6 Ave. bet. 55 St. and 56 St.,N,Rainbow Playground,B,N-CONFSTA-PARK,Playground,Rainbow Playground,20049.14692680000,600.18256468400,11220,B5,G6350,S
995910.193282334832475,191355.622505642968463,B266,Franklin Ave. between Willoughby Ave. and Dekalb Ave.,N,Star Spangled Playground,B,N-CONFSTA-PARK,Jointly Operated Playground,Star Spangled Playground (IS 117),73515.04558940000,1247.36716643000,11205,B5,G6350,S
996910.766469672671519,178485.701741629018215,B267,Winthrop St. between Rogers Ave. and Bedford Ave.,N,Parkside Playground,B,Y-CONFSTA-PARK,Jointly Operated Playground,Parkside Playground (PS 92),54555.81246340000,1295.64491837000,11225,B5,G6350,S
1003088.983142590615898,191172.865162726404378,B269,Lafayette Ave. bet. Stuyvesant Ave. and Malcom X Blvd.,N,Jesse Owens Playground,B,Y-CONFSTA-PARK,Jointly Operated Playground,Jesse Owens Playground,144154.54534800001,1784.16327659000,11221,B5,G6350,S
1011379.758171404944733,178481.179122312867548,B270,"Hegeman Ave., Linden Blvd. bet. Powell St. and Mother Gaston Blvd.",N,Brownsville Playground,B,N-CONFSTA-PARK,Buildings/Institutions,Brownsville Recreation Center Playground,133592.18527900000,1964.02717099000,11212,B5,G6350,S
1008036.547466375282966,175895.66757648557541,B271,Ditmas Ave. bet. E. 92 St. and E. 91 St.,N,Railroad Playground,B,Y-CONFSTA-PARK,Neighborhood Park,Railroad Playground,100923.52407100001,1402.19954979000,11236,B5,G6350,S
1015638.336061623762362,170612.348968937934842,B274,Seaview Ave. between E. 99 St. and E. 101 St.,N,Bayview Playground,B,Y-CONFSTA-PARK,Jointly Operated Playground,Bayview Playground (PS 272),60699.42018610000,1257.78646429000,11236,B5,G6350,S
994051.748208331409842,151700.371501992980484,B275,"Shore Pkwy., Brighton 3 St., Brighton 4 St.",N,Grady Playground,B,N-CONFSTA-PARK,Jointly Operated Playground,Grady Playground (Grady HS - DOE Books Fields),147061.33884099999,1674.14903305000,11235,B5,G6350,S
983622.123550950083882,158759.18125242102542,B277,Bath Ave. between Bay 22 St. and Bay 23 St.,N,Benson Playground,B,Y-CONFSTA-PARK,Jointly Operated Playground,Benson Playground (PS 200),40687.52235770000,893.62930133400,11214,B5,G6350,S
1013430.62053970771376,173436.968228480342077,B279,Ave. K between E. 100 St. and E. 101 St.,N,Wilson Playground,B,N-CONFSTA-PARK,Jointly Operated Playground,Wilson Playground,73715.43939790000,1437.87968450000,11236,B5,G6350,S
1023567.564152078935876,189690.084375109174289,Q257,84 St. bet. 91 Ave. and 91 Ave.,N,Lt. Clinton L .Whiting Square,Q,N-CONFSTA-PARK,Triangle/Plaza,Lt. Clinton L .Whiting Square,3410.51289568000,314.01223325800,11421,B5,G6350,S
1005793.292454082868062,233193.759694239124656,X272,E. 136 St. bet. Brown Pl. and Willis Ave.,N,Ranaqua Park,X,N-CONFSTA-PARK,Neighborhood Park,Ranaqua Park,42383.24981640000,1098.48419884000,10454,B5,G6350,S
999916.86633343109861,211199.358584804838756,Q267,Jackson Ave. bet. Court Sq. and Thomson Ave.,N,Court Square Park,Q,N-CONFSTA-PARK,Triangle/Plaza,Court Square Park,21443.07588240000,597.34667770700,11101,B5,G6350,S
1058653.494674996938556,186185.871551522694062,Q027,"121 Ave., N. Conduit Ave. bet. Laurelton Pkwy. Sr. Rd. S and Brookville Blvd.",N,Laurelton Parkway,Q,N-CONFSTA-PARK,Parkway,Laurelton Parkway,2120996.27241000021,42720.20279080000,11422,B5,G6350,S
923103.308421970694326,139011.830349564290373,R168,Lucille Ave. at Vetrands Rd. E. and Bloomingdale Rd.,N,Park,R,N-CONFSTA-PARK,Undeveloped,Park,2158.65292348000,207.67168083100,10309,B5,G6350,S
1008549.296801068121567,234929.638981364842039,X045,St Mary's St bet. St Ann's Av and Jackson Av,N,St. Mary's Park,X,Y-CONFSTA-ZONE,Neighborhood Park,St. Mary's Park,1533778.83174000005,5261.24240762000,10455,B5,G6350,S
1040988.336275422596373,182953.119513586891117,Q440,"133 Ave., 135 Ave. bet. 143 St. and 145 St.",N,Hilton Holiday Gardens,Q,N-CONFSTA-PARK,Undeveloped,Hilton Holiday Gardens,52493.60760770000,1053.75156166000,11436,B5,G6350,S
942314.332371863070875,144200.42646084073931,R140,"Miles Ave., Corbin Ave., Barlow Ave., Fairfield St.",N,King Fisher Park,R,N-CONFSTA-PARK,Nature Area,King Fisher Park,733555.58024599997,10929.18192820000,10308,B5,G6350,S
931548.713147003669292,132563.856196912733139,R131,Billiou St. and Comely St. bet.ween Huguenot Ave. and Kingdom Ave.,N,Huguenot Ponds Park,R,N-CONFSTA-PARK,Nature Area,Huguenot Ponds Park,66753.34045230001,1517.41419590000,10312,B5,G6350,S
961728.908111889380962,161945.026628938649083,R124,"Mosel Ave., Palma Dr., Hanover Ave.",N,Eibs Pond Park,R,N-CONFSTA-PARK,Nature Area,Eibs Pond Park,718971.47944100003,5340.57920060000,10304,B5,G6350,S
