,BOROUGH,COMFORTSTA,EAPPLY,GISPROPNUM,LOCATION,SHAPE_area,SHAPE_len,SIGNNAME,TYPECATEGO,WATERFRONT
234,M,Y-CONFSTA-PARK,Lillian D Wald Playground,M064,"Cherry St, Montgomery St and Gouverneur St",30396.4188794,870.230798422,Lillian D Wald Playground,Recreation Field/Courts,N
235,M,N-CONFSTA-PARK,Luther Gulick Playground,M065,"Columbia St, Delancey St and Bialystoker Pl",66106.7227859,1182.98448457,Luther Gulick Playground,Neighborhood Park,N
236,M,N-CONFSTA-PARK,Dr. Gertrude B. Kelly Playground,M066,"W. 17 St., 8 Ave. To 9 Ave.",23098.030232,629.907877318,Dr. Gertrude B. Kelly Playground,Neighborhood Park,N
237,M,N-CONFSTA-PARK,Sophie Irene Loeb,M067,"Henry St., Market St., E. Broadway",5956.66444526,437.996643188,Sophie Irene Loeb,Playground,N
238,X,N-CONFSTA-PARK,Hoe Garden,X241,Hoe Ave. bet. Aldus St. and Bruckner Blvd.,9471.35925926,389.427306214,Hoe Garden,Garden,N
239,X,N-CONFSTA-PARK,Pontiac Playground,X207,Jackson Ave. bet. E. 151 St. and E. 149,39597.4997551,819.705456669,Pontiac Playground,Jointly Operated Playground,N
240,X,Y-CONFSTA-PLGD,Railroad Park,X032,Coutlandt Av bet. E 161 St and E 162 St,32299.787524,772.816640558,Railroad Park,Neighborhood Park,N
241,X,N-CONFSTA-PARK,Rev J Polite Playground,X116,Rev James Polite Av to Interval Av bet. E 167 St and Home St,77872.3094135,1550.98139413,Rev J Polite Playground,Jointly Operated Playground,N
242,X,N-CONFSTA-PARK,Field Of Dreams Park,X264,E 167 St bet. Southern Blvd and Simpson St,7803.93065325,358.10481466,Field Of Dreams Park,Recreation Field/Courts,N
243,X,N-CONFSTA-PARK,Bryant Triangle,X064,"Bryant Ave., Westchester Ave., Longfellow Ave.",3581.26350607,293.743521106,Bryant Triangle,Triangle/Plaza,N
244,X,N-CONFSTA-PARK,Longfellow Garden,X290,"Longfellow Ave., Lowell St., E. 165 St.",16329.9824372,563.494072588,Longfellow Garden,Garden,N
245,X,N-CONFSTA-PARK,Lyons Square Playground,X029,Aldus St to Bruckner Blvd bet. Bryant Av and Longfellow Av,54363.7212195,997.564771653,Lyons Square Playground,Playground,N
246,X,N-CONFSTA-PARK,Benjamin Gladstone Square,X022,"Hoe Ave., Westchster Ave., W. Farms Rd.",4267.26956175,350.975862816,Benjamin Gladstone Square,Triangle/Plaza,N
247,X,N-CONFSTA-PARK,Printer's Park,X284,Hoe Av bet. Aldus St and Westchester Av,59184.1014029,1544.42971134,Printer's Park,Neighborhood Park,N
248,X,Y-CONFSTA-ZONE,Hines Park,X026,Fulton Av to Franklin Av bet. E 167 St and E 166 St,16769.6373047,1005.45382635,Hines Park,Playground,N
249,X,Y-CONFSTA-PARK,Estella Diggs Park,X243,3 Av to Fulton Av bet. E 167 St and E 168 St,44219.308454,1106.61874046,Estella Diggs Park,Neighborhood Park,N
250,X,N-CONFSTA-PARK,Triangle,X052,"E 163 St, Washington Av and Brook Av",2416.16389002,239.349534745,Triangle,Triangle/Plaza,N
251,X,Y-CONFSTA-PARK,O'Neill Triangle,X053,Elton Av bet. E 161 St and E 162 St,25846.0181634,707.731059005,O'Neill Triangle,Neighborhood Park,N
252,X,Y-CONFSTA-PARK,Edith Garden,X341,Elton Av bet. E 159 St and E 160 St,5088.72882051,304.670305367,Edith Garden,Garden,N
253,X,N-CONFSTA-PARK,Jardin de la Roca,X349,Elton Ave. at E. 160 St.,9951.33486818,399.072956158,Jardin de la Roca,Garden,N
254,X,N-CONFSTA-PARK,Jackson-Forest Community Garden,X319,Home St bet. Jackson Av and Forrest Av,7444.83686174,453.983485484,Jackson-Forest Community Garden,Garden,N
255,X,Y-CONFSTA-PARK,Franklin Memorial Garden,X318,Cauldwell Av bet. E 166 St and E 165 St,5017.34790215,332.566946891,Franklin Memorial Garden,Garden,N
256,X,Y-CONFSTA-PARK,Behagen Playground,X166,Tinton Av bet. E 166 St and E 165 St,144204.672854,1617.01670018,Behagen Playground,Playground,N
257,B,Y-CONFSTA-PARK,Jackie Robinson Park (PS 21),B294,Malcom X Blvd. between Chauncey St. and Marion St.,71115.8192965,1125.455268,Jackie Robinson Park,Jointly Operated Playground,N
258,X,N-CONFSTA-PARK,Park,X056,"E. 164 St., Boston Rd., 3 Ave.",2238.76727268,253.309665436,Park,Triangle/Plaza,N
259,X,N-CONFSTA-PARK,Park,X078,3 Ave. at Franklin Ave.,875.745251839,154.533819663,Park,Triangle/Plaza,N
260,X,N-CONFSTA-PARK,Gouverneur Playground,X222,3 Av bet. E 170 St and St Paul's Pl,45303.0093345,1079.38307188,Gouverneur Playground,Playground,N
261,X,N-CONFSTA-PARK,Jardin De La Familia,X320,E. 171 St. at Washington Ave.,14235.5139825,486.018880274,Jardin De La Familia,Garden,N
262,X,N-CONFSTA-PARK,Little Claremont Park,X299,Claremont Pkwy bet. Park Av and Washington Av,23927.9329854,727.258306514,Little Claremont Park,Playground,N
263,X,N-CONFSTA-PARK,Morgan Playground,X206,E 168 St bet.  Park Av and Washington Av,33213.7022245,947.343327259,Morgan Playground,Jointly Operated Playground,N
264,X,N-CONFSTA-PARK,Rev Lena Irons Unity Park,X286,E 168 St bet. Washington Av and 3 Av,15226.1927823,493.423879306,Rev Lena Irons Unity Park,Neighborhood Park,N
265,X,Y-CONFSTA-PARK,Genesis Park Community Garden,X316,Franklin Av bet. E 167 St and E 168 St,2347.28247643,216.833292336,Genesis Park Community Garden,Garden,N
266,X,N-CONFSTA-PARK,Youth Village,X242,Home St bet. Boston Rd and Jackson Av,11891.0346203,587.509721084,Youth Village,Playground,N
267,X,N-CONFSTA-PARK,Freeman Triangle,X134,"Freeman St, Longfellow Av, W Farms Rd",1153.57596948,160.486688758,Freeman Triangle,Triangle/Plaza,N
268,X,N-CONFSTA-PARK,Hoe Ave North Tot Lots,X270,Hoe Ave. bet. Home St. and Freeman St.,16357.7916286,957.127232223,Hoe Ave North Tot Lots,Undeveloped,N
269,X,N-CONFSTA-PARK,CS 134 Community Improvement Garden,X340,Bristow St bet. Jennings St and Freeman St,7302.31142021,349.363579363,CS 134 Community Improvement Garden,Garden,N
270,X,Y-CONFSTA-PARK,Model T Senior Citizen's Garden,X342,Rev. James Polite Ave. bet. Bristow St. and Intervale Ave.,11600.7327826,551.537330339,Model T Senior Citizen's Garden,Garden,N
271,X,N-CONFSTA-PARK,P.S. 186 Day Treatment Program,X330,Jennings St bet. Union Av and Prospect Av,3080.78840841,222.516186754,P.S. 186 Day Treatment Program,Garden,N
272,X,N-CONFSTA-PARK,McKinley Square,X031,"E. 169 St., Boston Rd., Clinton Ave.",4433.63880429,297.539933319,McKinley Square,Triangle/Plaza,N
273,X,N-CONFSTA-PARK,Beatty Plaza,X062,E. 169 St and Franklin Ave,3995.92000281,291.121125617,Beatty Plaza,Triangle/Plaza,N
274,X,N-CONFSTA-PARK,Drew Playground,X021,Fulton Av bet. E 169 St and E 170 St,41628.0252228,817.103421154,Drew Playground,Playground,N
275,M,Y-CONFSTA-PARK,Audubon Playground,M240,"Audubon Ave., W. 169 St. and W. 170 St.",30146.1379556,720.061719151,Audubon Playground,Jointly Operated Playground,N
276,X,Y-CONFSTA-PARK,Rock Garden Park,X273,Longfellow Av bet. E 173 St and E 174 St,38432.3171199,990.039420678,Rock Garden Park,Neighborhood Park,N
277,X,Y-CONFSTA-PARK,Daniel Boone Playground,X147B,Boone Av bet. W Farms Rd and Freeman St,56458.3857905,1475.93930057,Daniel Boone Playground,Playground,N
278,X,N-CONFSTA-PARK,Virginia Playground,X148L,McGraw Av bet. White Plains Rd and Virginia Av,19837.5723173,738.636858697,Virginia Playground,Playground,N
279,X,N-CONFSTA-PARK,Virginia Park,X148L1,White Plains Rd bet. S/B Cross Bronx Exwy and Westchester Av,42537.6003586,983.307306594,Virginia Park,Neighborhood Park,N
280,X,N-CONFSTA-PARK,Chief Dennis L. Devlin Park,X148M,"Olmstead Av, Ellis Av, N/B Cross Bronx Exwy Service Rd",21316.2869179,734.357359525,Chief Dennis L. Devlin Park,Triangle/Plaza,N
281,X,N-CONFSTA-PARK,Havemeyer Playground,X148M1,"N/B Cross Bronx Exwy Service Rd, Watson Av, Havemeyer Ave",19680.5356911,698.920572261,Havemeyer Playground,Playground,N
282,X,Y-CONFSTA-ZONE,Wood Park,X148K3,"Thieriot Av, Wood Av, N/B Cross Bronx Exwy Service Rd",7261.47773354,409.276509074,Wood Park,Triangle/Plaza,N
283,X,N-CONFSTA-PARK,Park,X148K4,"S/B Cross Bronx Exwy Service Rd, McGraw Av, Taylor Av",4385.82039911,295.69590109,Park,Triangle/Plaza,N
284,X,Y-CONFSTA-PLGD,St. Lawrence Triangle,X148K2,"S/B Cross Bronx Exwy Service Rd, St Lawrence Av, E 174 St",3482.58659549,282.667211781,St. Lawrence Triangle,Triangle/Plaza,N
285,X,Y-CONFSTA-PARK,Crotona Park,X010,"Crotona Park North to South, Fulton Av to Southern Blvd and Crotona Park East",5485619.44373,19566.3228655,Crotona Park,Flagship Park,N
286,X,N-CONFSTA-PARK,Victory Garden,X010C,Crotona Park South bet. Fulton Av and Crotona Av,20189.1504365,604.309394077,Victory Garden,Garden,N
287,X,N-CONFSTA-PARK,Angie Lee Gonzales Garden,X339,Bryant Ave. at E. 174 St.,4680.77604954,297.254220911,Angie Lee Gonzales Garden,Garden,N
