ParkID,SiteName,Date,OverallCondition,OverallCleanliness,Glass,Graffiti,Litter,Weeds,Ice,Lawns,Trees,WaterBodies,HorticulturalAreas,AthleticFields,Trails,Benches,Fences,PavedSurfaces,PlayEquipment,SafetySurface,Sidewalks
B058-ZN06,Mccarren Park Zone 6,12/4/2013,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,,,,Acceptable,,,,,,,,Acceptable
B060,McKinley Park,12/26/2013,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,,,,Acceptable,,,,,Acceptable,,,Acceptable
B060-01,Mckinley Park,2/28/2014,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Acceptable,Acceptable,,,,,Acceptable,Acceptable,Acceptable,,,Acceptable
B061,McLaughlin Park,11/25/2013,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Acceptable,,,,,Acceptable,Acceptable,Acceptable,,,Acceptable
B062,Memorial Gore,1/13/2014,Unacceptable,Unacceptable,Unacceptable,Acceptable,Acceptable,,Acceptable,Unacceptable,Unacceptable,,,Acceptable,,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
B063,Milestone Park,9/30/2013,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Acceptable,,,Acceptable,,Acceptable,Acceptable,Acceptable,Unacceptable,Unacceptable,Acceptable
B065-ZN01,Ocean Parkway Malls Zone 1,4/28/2014,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,,Acceptable,,,,,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
B065-ZN02,Ocean Parkway Malls Zone 2,10/23/2013,Acceptable,Acceptable,Acceptable,Acceptable,Unacceptable,Acceptable,,,Acceptable,,,,,Acceptable,Acceptable,Acceptable,Unacceptable,Acceptable,Acceptable
B065-ZN03,Ocean Parkway Malls Zone 3,2/10/2014,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Not Rated,Unacceptable,,,,,Acceptable,Acceptable,Not Rated,Not Rated,,Acceptable
B065-ZN04,Ocean Parkway Malls Zone 4,11/18/2013,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Unacceptable,,,,,Acceptable,Acceptable,Acceptable,Acceptable,,Unacceptable
